ds,posA
2012-07-01,0.00641833339182669
2012-08-01,0.0014961644638889274
2012-09-01,0.0002711488183762341
2012-10-01,0.004759362244060062
2012-11-01,0.006873177515158744
2012-12-01,0.02377574492687436
2013-01-01,0.00846705027159381
2013-02-01,0.007880181412814442
2013-03-01,0.005175153298213499
2013-04-01,0.0077436025160693206
2013-05-01,0.006443941036536825
2013-06-01,0.01917466432744689
2013-07-01,0.023830781953842927
2013-08-01,0.010694063096385336
2013-09-01,0.001488806145001699
2013-10-01,0.00578431285966051
2013-11-01,0.015534155679951884
2013-12-01,0.029562755379036333
2014-01-01,0.015431976869518346
2014-02-01,0.007142462928324083
2014-03-01,0.004479074702195529
2014-04-01,0.007469459367393719
2014-05-01,0.006459586623156421
2014-06-01,0.020145380866385502
2014-07-01,0.027986866689731545
2014-08-01,0.01259651408944131
2014-09-01,0.0020667458782340476
2014-10-01,0.013065539684486557
2014-11-01,0.027555961300678736
2014-12-01,0.041740516042475674
2015-01-01,0.01587701858542787
2015-02-01,0.007650974470700912
2015-03-01,0.007970805697575134
2015-04-01,0.004768125804621991
2015-05-01,0.013578858899256292
2015-06-01,0.025418415238595643
2015-07-01,0.020503136015205852
2015-08-01,0.0075885193394044995
2015-09-01,0.0047466649324704475
2015-10-01,0.014428348584128246
2015-11-01,0.01790564150299121
2015-12-01,0.017237969017574534
2016-01-01,0.0052883627513507486
2016-02-01,0.005683305763584974
2016-03-01,0.007700486292020548
2016-04-01,0.015156739241874214
2016-05-01,0.0076562659329478915
2016-06-01,0.005425144117248291
2016-07-01,0.03225316402506327
2016-08-01,0.009489753124172263
2016-09-01,0.015584514192703479
2016-10-01,0.014322046932372308
2016-11-01,0.010889362608170377
2016-12-01,0.008824242239046263
2017-01-01,0.021600433722277396
2017-02-01,0.019770509975600068
2017-03-01,0.027661352217157886
2017-04-01,0.01819160958300955
2017-05-01,0.008664844432214845
2017-06-01,0.017893805811602586
2017-07-01,0.02833329436862256
2017-08-01,0.010751354522333815
2017-09-01,0.01544391168449636
2017-10-01,0.021150458601532297
2017-11-01,0.010798004719073257
2017-12-01,0.017546992819802612
2018-01-01,0.03529305577410971
2018-02-01,0.0370414487852339
2018-03-01,0.028622853501547335
2018-04-01,0.019757845856228563
2018-05-01,0.0389238002024631
2018-06-01,0.038004615056280756
2018-07-01,0.03580400505602981
2018-08-01,0.009571006320736366
2018-09-01,0.014188815217523677
2018-10-01,0.025920590023029114
2018-11-01,0.017396033576413852
2018-12-01,0.029458839031153962
2019-01-01,0.040347276334915826
2019-02-01,0.03247947738162599
2019-03-01,0.018869777659885602
2019-04-01,0.025594905012359313
2019-05-01,0.0399784797747454
2019-06-01,0.03965782797715957
2019-07-01,0.021618978348925344
2019-08-01,0.004839472206993021
2019-09-01,0.015056045973048184
2019-10-01,0.024780398436221655
2019-11-01,0.022518965694734387
2019-12-01,0.020629638695992433
2020-01-01,0.013035006343758858
