ds,posMM
2012-08-01,0.004858814684616908
2012-09-01,0.0012435613203745088
2012-10-01,0.004965295804706615
2012-11-01,0.00209203144508463
2012-12-01,0.016003707455810146
2013-01-01,0.015548685823023156
2013-02-01,0.01616364383245117
2013-03-01,0.013343578613408624
2013-04-01,0.012239952819573241
2013-05-01,0.0012638969067981787
2013-06-01,0.011862433474194023
2013-07-01,0.013363595210054813
2013-08-01,0.012818671999131781
2013-09-01,0.011862132620315435
2013-10-01,0.004971975911729709
2013-11-01,0.009686965321055618
2013-12-01,0.014646688302371702
2014-01-01,0.013624049510062464
2014-02-01,0.02306431410826537
2014-03-01,0.010995761906481993
2014-04-01,0.011642373412009133
2014-05-01,0.004277905541135496
2014-06-01,0.013780378255583203
2014-07-01,0.015818435839303424
2014-08-01,0.014876126838227033
2014-09-01,0.014348703295632093
2014-10-01,0.010819506436391846
2014-11-01,0.014541000688838013
2014-12-01,0.013480444811383996
2015-01-01,0.030148872234032842
2015-02-01,0.021562796062682743
2015-03-01,0.009650696680026938
2015-04-01,0.010144070455215148
2015-05-01,0.011029761090263768
2015-06-01,0.011954873407827193
2015-07-01,0.01410398192043405
2015-08-01,0.014732082448984496
2015-09-01,0.0058071033839319774
2015-10-01,0.009597941152144407
2015-11-01,0.019117255241972386
2015-12-01,0.001339471407695192
2016-01-01,0.017633822233226848
2016-02-01,0.00837473070636463
2016-03-01,0.009082618637931361
2016-04-01,0.017207946352061354
2016-05-01,0.014851712999406241
2016-06-01,0.006857026887140405
2016-07-01,0.0020571414356865825
2016-08-01,0.024634633314410515
2016-09-01,0.005893457826304682
2016-10-01,0.012820525235159863
2016-11-01,0.013815057300074485
2016-12-01,0.011100797548895036
2017-01-01,0.021148613322202303
2017-02-01,0.009576277048604753
2017-03-01,0.00783894171373567
2017-04-01,0.016209239220741467
2017-05-01,0.02306410603965625
2017-06-01,0.011597416117315018
2017-07-01,0.012152751802087303
2017-08-01,0.02731608982349365
2017-09-01,0.006508980142969412
2017-10-01,0.019212272902979555
2017-11-01,0.01765052673848455
2017-12-01,0.014648013954765338
2018-01-01,0.024099036061693613
2018-02-01,0.00630169198950381
2018-03-01,0.020271992115860837
2018-04-01,0.0296249116751941
2018-05-01,0.026863097275796388
2018-06-01,0.012696139795673522
2018-07-01,0.020159064690239203
2018-08-01,0.026412018032478612
2018-09-01,0.013617708444560561
2018-10-01,0.023603684230513622
2018-11-01,0.015355130494733693
2018-12-01,0.015519782845362262
2019-01-01,0.01048931647206397
2019-02-01,0.007510939017747242
2019-03-01,0.027929036524500295
2019-04-01,0.029934373040662487
2019-05-01,0.020575649185893607
2019-06-01,0.008966813421928066
2019-07-01,0.022543553666483085
2019-08-01,0.020963746335530442
2019-09-01,0.01682090300249095
2019-10-01,0.011038206025616892
2019-11-01,0.006104046734715984
2019-12-01,0.004659406659053067
2020-01-01,0.007931931832494188
